Group,AssessmentPeriod,Scientists often need to educate the general public on important issues,Scientists usually work in teams,Scientists usually engage well with the general public,Scientists get high salaries,Scientists are usually financially poor,It's hard to get a job as a scientist,Scientists are antisocial people,Scientists are tedious people
CTRL,BEFORE,3,2,4,4,5,2,2,2
CTRL,BEFORE,3,4,2,4,3,3,3,4
CTRL,BEFORE,4,3,2,3,3,2,3,2
CTRL,BEFORE,2,3,3,3,4,4,4,3
CTRL,BEFORE,3,2,4,2,4,3,3,3
CTRL,BEFORE,4,4,3,2,4,2,3,4
CTRL,BEFORE,2,4,4,3,2,4,4,3
CTRL,BEFORE,3,2,2,4,4,4,2,3
CTRL,BEFORE,3,2,3,4,4,3,2,4
CTRL,BEFORE,3,3,3,3,2,2,4,2
CTRL,BEFORE,4,4,4,4,4,2,4,3
CTRL,BEFORE,3,3,3,4,4,2,3,2
CTRL,BEFORE,4,3,3,4,4,4,4,4
CTRL,BEFORE,3,4,3,3,4,4,2,4
CTRL,BEFORE,3,2,3,4,4,3,3,3
CTRL,BEFORE,2,3,4,2,3,3,3,3
CTRL,BEFORE,2,2,3,4,2,4,3,2
CTRL,BEFORE,2,2,2,3,2,3,4,3
CTRL,BEFORE,3,3,2,4,4,4,3,3
CTRL,BEFORE,4,2,4,2,3,3,4,4
CTRL,BEFORE,4,4,3,2,2,4,4,3
CTRL,BEFORE,2,4,4,3,4,2,2,3
CTRL,BEFORE,2,4,4,3,4,3,3,2
CTRL,BEFORE,3,3,3,4,4,3,2,2
CTRL,BEFORE,4,2,4,2,3,4,3,2
CTRL,BEFORE,2,2,2,4,3,2,3,3
CTRL,BEFORE,3,2,4,3,4,3,4,2
CTRL,BEFORE,4,3,3,2,2,4,4,2
CTRL,BEFORE,4,2,3,3,2,4,3,3
CTRL,BEFORE,2,2,2,2,4,3,3,4
CTRL,BEFORE,2,4,2,2,2,2,3,3
CTRL,BEFORE,3,2,3,2,3,2,3,4
CTRL,BEFORE,4,2,2,3,2,4,2,2
CTRL,BEFORE,4,4,3,3,2,4,2,4
CTRL,BEFORE,3,3,3,4,2,4,4,3
CTRL,BEFORE,4,3,3,4,2,3,3,4
CTRL,BEFORE,3,2,2,4,3,2,4,3
CTRL,BEFORE,4,2,3,3,4,4,4,4
CTRL,BEFORE,3,2,3,4,4,4,2,2
CTRL,BEFORE,4,4,3,3,2,2,3,4
CTRL,BEFORE,3,2,3,2,3,2,4,3
CTRL,BEFORE,4,3,2,4,3,4,3,2
CTRL,BEFORE,2,2,2,4,3,2,2,2
CTRL,BEFORE,2,2,3,4,4,4,2,4
CTRL,BEFORE,2,3,2,4,3,4,2,4
CTRL,BEFORE,3,3,2,2,4,3,3,4
CTRL,BEFORE,2,4,3,4,4,4,3,4
CTRL,BEFORE,4,2,3,2,2,2,3,3
CTRL,BEFORE,4,4,3,4,2,3,4,3
CTRL,BEFORE,4,2,4,2,3,3,2,3
CTRL,BEFORE,3,1,1,1,1,5,5,5
CTRL,BEFORE,3,5,5,1,1,3,2,5
CTRL,BEFORE,2,4,4,2,2,1,2,5
CTRL,BEFORE,3,5,5,1,3,5,2,2
CTRL,BEFORE,1,5,5,1,1,1,2,2
CTRL,BEFORE,3,1,,5,5,5,5,5
CTRL,BEFORE,1,5,4,1,1,5,2,4
CTRL,BEFORE,3,4,4,3,3,3,4,4
CTRL,BEFORE,2,3,5,3,3,3,4,4
CTRL,BEFORE,2,4,5,4,3,3,4,3
CTRL,BEFORE,1,5,3,3,3,5,5,4
CTRL,BEFORE,3,4,3,3,1,4,3,3
CTRL,BEFORE,2,4,5,5,1,3,3,3
CTRL,BEFORE,1,4,5,2,4,3,3,5
CTRL,BEFORE,3,5,5,1,1,5,4,4
CTRL,BEFORE,3,5,3,2,3,5,3,4
CTRL,BEFORE,2,5,5,3,2,3,3,3
CTRL,BEFORE,2,5,5,3,2,3,3,3
CTRL,BEFORE,2,5,5,3,2,3,3,2
CTRL,BEFORE,1,5,5,1,5,5,3,5
CTRL,BEFORE,1,5,2,5,1,3,4,2
CTRL,BEFORE,2,5,,3,3,3,5,2
CTRL,BEFORE,1,4,2,3,1,3,5,2
CTRL,BEFORE,2,2,4,3,2,3,2,5
CTRL,BEFORE,1,1,3,2,1,1,2,2
CTRL,BEFORE,3,5,5,1,1,1,2,5
CTRL,BEFORE,1,5,5,1,1,5,2,2
CTRL,BEFORE,2,4,3,3,2,2,3,3
CTRL,BEFORE,2,5,4,3,3,4,3,2
CTRL,BEFORE,1,3,3,3,2,3,3,4
CTRL,BEFORE,3,1,3,3,4,2,4,4
CTRL,BEFORE,1,4,3,3,2,5,4,4
CTRL,BEFORE,3,5,4,4,2,4,4,4
CTRL,BEFORE,3,4,4,4,1,2,2,5
CTRL,BEFORE,1,4,3,4,3,4,5,5
CTRL,BEFORE,1,3,3,3,3,2,4,4
CTRL,BEFORE,3,5,4,5,1,3,5,5
CTRL,BEFORE,1,3,3,3,3,3,4,4
CTRL,AFTER,5,4,4,1,1,5,3,1
CTRL,AFTER,5,5,3,3,3,3,1,1
CTRL,AFTER,5,4,5,1,1,4,1,1
CTRL,AFTER,3,4,3,4,3,5,3,3
CTRL,AFTER,3,3,4,3,3,3,2,2
CTRL,AFTER,1,4,2,4,1,5,4,5
CTRL,AFTER,4,4,4,5,1,5,5,5
CTRL,AFTER,1,2,,1,2,1,3,1
CTRL,AFTER,,3,2,3,,,4,4
CTRL,AFTER,4,3,4,4,3,4,2,3
CTRL,AFTER,3,2,1,1,1,2,4,3
CTRL,AFTER,4,1,3,4,4,1,3,3
CTRL,AFTER,5,4,3,2,1,4,3,3
CTRL,AFTER,5,,3,4,5,2,4,2
CTRL,AFTER,4,4,4,5,1,4,,
CTRL,AFTER,5,5,5,1,1,1,1,1
CTRL,AFTER,3,4,4,3,1,2,2,1
CTRL,AFTER,4,5,,,2,2,3,2
CTRL,AFTER,5,5,5,4,3,3,4,3
CTRL,AFTER,4,5,2,1,1,1,2,5
CTRL,AFTER,5,5,3,5,1,3,3,3
CTRL,AFTER,5,5,5,5,1,1,1,1
CTRL,AFTER,5,5,3,1,1,3,3,3
CTRL,AFTER,5,5,5,1,1,4,1,1
CTRL,AFTER,4,5,5,1,1,4,1,3
CTRL,AFTER,,4,5,5,4,4,,5
CTRL,AFTER,3,2,2,2,3,1,2,5
CTRL,AFTER,5,5,3,4,3,,,
CTRL,AFTER,5,4,3,1,4,5,4,2
CTRL,AFTER,5,5,4,5,4,2,1,1
CTRL,AFTER,4,5,5,1,1,1,2,1
CTRL,AFTER,5,4,2,1,1,4,2,2
CTRL,AFTER,4,5,3,1,1,5,3,3
CTRL,AFTER,5,4,5,5,3,5,4,3
CTRL,AFTER,5,4,4,5,4,,,
CTRL,AFTER,4,4,5,3,3,2,3,3
CTRL,AFTER,4,5,5,1,1,2,4,4
CTRL,AFTER,4,,4,1,4,5,1,1
CTRL,AFTER,4,4,5,,1,2,1,3
CTRL,AFTER,5,5,2,,1,1,1,1
CTRL,AFTER,1,2,5,4,5,5,4,3
CTRL,AFTER,3,3,2,3,3,3,3,3
CTRL,AFTER,2,3,4,4,5,3,4,4
CTRL,AFTER,2,5,4,1,1,2,1,1
CTRL,AFTER,3,1,5,2,4,2,4,1
CTRL,AFTER,5,5,3,1,1,5,1,3
CTRL,AFTER,4,4,5,1,1,5,1,1
CTRL,AFTER,5,5,3,4,1,5,5,5
CTRL,AFTER,4,4,4,2,1,4,2,4
CTRL,AFTER,4,5,4,4,3,5,2,1
CTRL,AFTER,5,4,3,1,1,5,3,3
CTRL,AFTER,5,2,3,4,5,4,3,2
CTRL,AFTER,5,4,4,,3,4,5,5
CTRL,AFTER,1,2,1,3,1,3,4,4
CTRL,AFTER,4,3,4,1,1,4,3,4
CTRL,AFTER,2,5,5,3,1,4,2,4
CTRL,AFTER,4,5,3,2,2,4,2,2
CTRL,AFTER,2,5,5,1,1,1,2,2
CTRL,AFTER,3,4,4,5,1,1,2,2
CTRL,AFTER,4,4,3,1,1,3,4,4
CTRL,AFTER,1,5,5,2,2,2,2,2
CTRL,AFTER,3,4,3,3,3,4,2,2
CTRL,AFTER,5,5,,,2,4,2,2
CTRL,AFTER,2,3,2,3,5,5,4,3
CTRL,AFTER,5,5,5,5,2,3,3,2
CTRL,AFTER,4,4,4,4,3,4,4,4
CTRL,AFTER,5,5,3,1,3,1,3,3
CTRL,AFTER,1,1,1,1,1,5,3,3
CTRL,AFTER,1,2,2,5,4,1,5,2
CTRL,AFTER,5,5,5,5,1,3,2,3
CTRL,AFTER,3,4,3,3,4,2,5,3
CTRL,AFTER,3,4,3,4,3,5,4,4
CTRL,AFTER,3,5,4,3,2,3,5,4
CTRL,AFTER,4,4,4,2,1,2,3,3
CTRL,AFTER,4,3,4,3,3,3,2,2
CTRL,AFTER,5,5,3,1,1,3,1,1
CTRL,AFTER,3,5,3,5,5,5,5,3
CTRL,AFTER,3,4,4,3,3,3,3,3
CTRL,AFTER,4,3,3,3,4,3,2,
CTRL,AFTER,4,3,4,4,2,2,1,3
CTRL,AFTER,1,5,2,3,4,2,3,2
CTRL,AFTER,5,5,4,3,1,2,1,2
CTRL,AFTER,5,5,4,4,2,4,2,1
CTRL,AFTER,4,4,4,2,2,3,4,4
CTRL,AFTER,5,5,5,1,1,5,5,5
CTRL,AFTER,3,4,3,3,3,3,3,3
CTRL,AFTER,5,5,5,1,1,5,1,5
CTRL,AFTER,3,3,1,3,5,3,3,5
CTRL,AFTER,4,3,4,3,3,3,2,2
CTRL,AFTER,1,3,1,3,2,5,2,
CTRL,AFTER,2,3,3,3,3,3,3,3
CTRL,AFTER,3,3,5,3,1,3,3,3
CTRL,AFTER,2,4,3,1,1,2,3,4
CTRL,AFTER,3,4,3,2,2,2,3,3
CTRL,AFTER,1,3,1,2,1,3,2,4
CTRL,AFTER,4,3,3,3,3,4,3,2
CTRL,AFTER,3,3,3,3,3,3,3,3
EXP,BEFORE,4,3,4,2,2,4,3,3
EXP,BEFORE,1,3,2,3,1,,3,1
EXP,BEFORE,2,3,1,1,3,5,1,1
EXP,BEFORE,1,1,2,2,3,5,1,3
EXP,BEFORE,1,1,2,2,1,4,3,2
EXP,BEFORE,3,1,1,3,1,5,1,3
EXP,BEFORE,1,3,3,1,3,3,1,2
EXP,BEFORE,2,1,3,2,5,5,2,1
EXP,BEFORE,1,3,2,3,2,3,2,1
EXP,BEFORE,1,1,2,3,3,4,2,3
EXP,BEFORE,3,2,3,3,1,4,2,3
EXP,BEFORE,1,2,1,2,1,3,2,3
EXP,BEFORE,1,2,2,2,1,3,3,2
EXP,BEFORE,3,3,1,3,3,,1,2
EXP,BEFORE,2,2,3,2,1,4,1,1
EXP,BEFORE,3,1,2,2,1,5,2,2
EXP,BEFORE,1,3,1,3,1,5,2,2
EXP,BEFORE,3,1,1,2,,4,3,3
EXP,BEFORE,1,1,3,3,3,3,2,3
EXP,BEFORE,3,1,3,2,1,5,3,1
EXP,BEFORE,3,2,3,2,3,4,2,1
EXP,BEFORE,1,2,3,3,1,5,3,3
EXP,BEFORE,3,3,2,3,1,3,2,2
EXP,BEFORE,3,3,3,3,1,2,1,1
EXP,BEFORE,2,3,1,3,3,5,3,2
EXP,BEFORE,2,2,2,2,3,5,2,2
EXP,BEFORE,1,3,3,1,3,3,1,3
EXP,BEFORE,3,2,2,3,1,5,3,1
EXP,BEFORE,2,3,2,1,,5,2,2
EXP,BEFORE,3,1,2,2,1,3,1,2
EXP,BEFORE,1,2,1,1,2,3,3,2
EXP,BEFORE,3,1,2,3,1,5,2,2
EXP,BEFORE,3,1,1,3,1,5,1,3
EXP,BEFORE,2,3,1,1,3,4,1,1
EXP,BEFORE,2,1,3,2,1,5,1,2
EXP,BEFORE,3,2,1,2,1,3,3,1
EXP,BEFORE,1,1,1,3,3,3,1,1
EXP,BEFORE,1,2,2,3,1,5,2,2
EXP,BEFORE,2,2,1,3,3,3,2,3
EXP,BEFORE,3,1,2,2,1,2,3,3
EXP,BEFORE,2,3,1,2,1,3,1,2
EXP,BEFORE,1,2,1,2,3,4,3,2
EXP,BEFORE,3,2,2,2,3,5,3,2
EXP,BEFORE,2,2,2,2,1,3,2,1
EXP,BEFORE,3,1,2,3,2,2,3,3
EXP,BEFORE,2,1,3,3,1,4,1,2
EXP,BEFORE,2,2,3,3,1,2,3,2
EXP,BEFORE,1,2,2,1,1,3,2,1
EXP,BEFORE,2,1,3,3,1,5,3,3
EXP,BEFORE,1,2,3,1,1,3,2,3
EXP,BEFORE,1,3,3,3,1,4,1,2
EXP,BEFORE,1,2,2,3,3,4,2,3
EXP,BEFORE,3,2,3,2,2,4,1,3
EXP,BEFORE,2,1,2,3,1,2,3,2
EXP,BEFORE,3,3,1,3,4,2,2,3
EXP,BEFORE,2,2,1,3,1,1,2,3
EXP,BEFORE,2,3,2,1,3,3,2,1
EXP,BEFORE,1,2,1,2,1,1,1,2
EXP,BEFORE,2,3,3,2,4,5,1,2
EXP,BEFORE,3,2,2,2,4,5,2,1
EXP,BEFORE,1,3,3,3,4,5,1,2
EXP,BEFORE,2,2,2,3,4,4,3,3
EXP,BEFORE,2,3,1,1,2,4,3,2
EXP,BEFORE,2,2,3,2,3,3,3,1
EXP,BEFORE,2,3,1,1,2,3,2,3
EXP,BEFORE,1,3,3,1,2,3,1,1
EXP,BEFORE,1,3,3,3,2,2,1,1
EXP,BEFORE,1,1,3,3,1,3,3,1
EXP,BEFORE,2,2,2,3,1,5,3,3
EXP,BEFORE,1,2,1,3,1,4,2,1
EXP,BEFORE,1,2,2,3,1,5,3,2
EXP,BEFORE,1,2,1,3,1,1,3,3
EXP,BEFORE,2,1,1,1,1,5,3,2
EXP,BEFORE,2,3,2,2,4,4,2,1
EXP,BEFORE,1,1,1,2,1,3,3,1
EXP,BEFORE,2,1,2,1,3,3,1,2
EXP,BEFORE,1,3,2,2,1,2,2,2
EXP,BEFORE,3,2,3,1,3,5,2,1
EXP,BEFORE,1,2,1,2,4,4,3,2
EXP,BEFORE,2,1,2,1,1,5,2,2
EXP,BEFORE,3,3,1,2,2,5,3,3
EXP,BEFORE,3,2,1,2,2,4,3,2
EXP,BEFORE,2,1,1,1,3,3,1,3
EXP,BEFORE,1,1,3,3,5,5,1,2
EXP,BEFORE,2,2,1,1,2,4,1,2
EXP,BEFORE,3,2,3,1,1,5,3,2
EXP,BEFORE,3,3,3,2,3,2,3,3
EXP,BEFORE,2,3,2,1,4,2,3,1
EXP,BEFORE,1,1,1,2,3,5,3,3
EXP,BEFORE,2,1,3,3,2,5,3,1
EXP,BEFORE,3,3,2,2,2,3,1,1
EXP,BEFORE,3,1,3,3,3,3,3,2
EXP,BEFORE,1,2,1,1,1,5,3,1
EXP,BEFORE,1,3,2,2,4,4,2,3
EXP,BEFORE,2,3,1,1,1,3,1,3
EXP,BEFORE,2,1,3,3,1,4,2,3
EXP,BEFORE,1,1,3,1,4,2,1,3
EXP,BEFORE,2,2,2,1,1,2,1,2
EXP,BEFORE,2,1,2,3,1,3,3,1
EXP,BEFORE,2,3,1,1,1,3,2,1
EXP,BEFORE,3,2,3,3,3,3,3,1
EXP,BEFORE,1,1,1,3,2,3,3,2
EXP,BEFORE,2,3,2,3,1,3,2,3
EXP,BEFORE,1,1,3,2,2,3,3,3
EXP,BEFORE,1,3,2,2,1,4,3,2
EXP,BEFORE,1,3,1,2,4,1,3,2
EXP,BEFORE,3,2,1,3,2,2,3,1
EXP,BEFORE,2,1,3,2,1,2,3,3
EXP,BEFORE,5,5,5,1,1,5,2,1
EXP,BEFORE,4,2,3,4,3,3,3,3
EXP,BEFORE,5,3,2,3,1,5,3,3
EXP,BEFORE,3,4,4,3,1,3,1,1
EXP,BEFORE,4,5,2,3,3,2,4,5
EXP,BEFORE,5,5,4,2,3,3,3,3
EXP,BEFORE,5,5,4,2,1,3,1,2
EXP,BEFORE,5,5,3,4,3,4,3,3
EXP,BEFORE,2,5,5,1,4,1,5,5
EXP,BEFORE,5,4,3,4,1,3,2,1
EXP,BEFORE,4,4,3,4,3,4,3,3
EXP,BEFORE,5,4,5,4,1,5,1,2
EXP,BEFORE,5,4,4,3,3,5,2,2
EXP,BEFORE,5,5,4,5,1,2,2,1
EXP,BEFORE,4,5,3,1,1,2,4,1
EXP,BEFORE,4,3,3,1,5,3,2,5
EXP,BEFORE,2,4,3,2,1,4,3,2
EXP,BEFORE,5,4,4,4,3,3,1,1
EXP,BEFORE,5,3,2,3,3,3,2,1
EXP,BEFORE,4,2,4,2,3,5,4,2
EXP,BEFORE,2,5,4,1,2,3,2,2
EXP,BEFORE,1,5,4,2,3,5,1,4
EXP,BEFORE,5,3,3,3,1,3,1,1
EXP,BEFORE,5,5,3,3,2,3,1,1
EXP,BEFORE,4,2,2,4,2,2,4,4
EXP,BEFORE,4,5,4,3,3,2,4,5
EXP,BEFORE,5,4,2,4,1,1,4,1
EXP,BEFORE,1,5,3,3,1,3,3,3
EXP,BEFORE,3,5,4,1,1,3,2,2
EXP,BEFORE,5,4,4,3,3,2,2,3
EXP,BEFORE,2,5,4,3,1,5,2,1
EXP,BEFORE,5,3,5,3,3,4,2,1
EXP,BEFORE,4,2,5,3,1,3,3,4
EXP,BEFORE,4,5,2,1,1,5,4,5
EXP,AFTER,4,5,3,5,1,3,2,2
EXP,AFTER,4,5,4,3,3,3,3,2
EXP,AFTER,4,4,5,4,2,1,1,2
EXP,AFTER,5,5,2,4,2,4,4,3
EXP,AFTER,3,3,5,5,1,2,1,3
EXP,AFTER,1,5,5,4,2,1,1,1
EXP,AFTER,3,5,3,5,1,5,1,1
EXP,AFTER,5,5,5,5,1,1,1,3
EXP,AFTER,5,3,4,4,2,3,3,3
EXP,AFTER,3,1,4,2,4,2,3,2
EXP,AFTER,5,5,4,4,2,3,1,1
EXP,AFTER,3,3,3,3,3,3,3,1
EXP,AFTER,3,4,4,5,1,2,2,1
EXP,AFTER,4,4,4,5,1,1,2,3
EXP,AFTER,3,4,4,5,1,3,3,1
EXP,AFTER,4,5,4,5,1,3,1,1
EXP,AFTER,2,5,4,5,1,2,2,2
EXP,AFTER,4,5,4,5,1,5,2,3
EXP,AFTER,3,5,5,5,1,4,2,1
EXP,AFTER,2,5,5,5,1,3,2,1
EXP,AFTER,2,4,5,5,1,3,3,3
EXP,AFTER,4,4,5,5,1,1,5,2
EXP,AFTER,2,4,5,5,1,3,3,3
EXP,AFTER,2,4,3,5,1,3,3,1
EXP,AFTER,4,4,4,4,2,2,2,1
EXP,AFTER,4,5,3,4,2,5,3,2
EXP,AFTER,3,4,4,4,2,4,4,2
EXP,AFTER,4,4,2,5,1,3,3,1
EXP,AFTER,4,4,5,5,1,3,3,3
EXP,AFTER,5,5,5,5,1,3,2,2
EXP,AFTER,5,4,5,4,2,1,5,2
EXP,AFTER,3,3,4,5,1,5,1,3
EXP,AFTER,4,5,5,3,3,3,3,3
EXP,AFTER,4,5,5,4,2,3,2,2
EXP,AFTER,5,4,5,5,1,5,3,2
EXP,AFTER,5,4,5,5,1,1,1,1
EXP,AFTER,5,5,5,5,1,2,1,1
EXP,AFTER,3,4,4,5,1,3,3,3
EXP,AFTER,4,5,5,4,2,4,4,3
EXP,AFTER,5,5,4,4,2,3,2,1
EXP,AFTER,5,3,5,3,3,4,3,2
EXP,AFTER,4,4,2,5,1,3,2,1
EXP,AFTER,4,5,5,3,3,3,2,2
EXP,AFTER,2,3,2,4,2,2,1,2
EXP,AFTER,2,1,2,5,1,2,4,1
EXP,AFTER,5,4,5,4,2,4,2,2
EXP,AFTER,5,5,4,5,1,4,2,3
EXP,AFTER,1,5,4,5,1,4,4,1
EXP,AFTER,4,5,4,5,1,4,1,1
EXP,AFTER,5,4,2,5,1,2,4,2
EXP,AFTER,5,5,2,5,1,5,4,1
EXP,AFTER,4,5,5,4,2,4,2,1
EXP,AFTER,5,4,5,4,2,5,4,2
EXP,AFTER,4,1,,4,2,2,5,1
EXP,AFTER,3,3,4,3,3,2,3,3
EXP,AFTER,1,5,4,5,1,1,1,3
EXP,AFTER,4,1,5,5,1,,4,2
EXP,AFTER,5,5,5,5,1,2,1,1
EXP,AFTER,3,1,1,1,2,3,5,1
EXP,AFTER,4,4,4,5,1,4,4,1
EXP,AFTER,5,4,4,5,1,2,2,2
EXP,AFTER,5,5,4,4,2,3,3,2
EXP,AFTER,5,4,4,3,3,4,3,3
EXP,AFTER,5,3,4,4,2,4,3,5
EXP,AFTER,4,3,4,5,1,4,4,2
EXP,AFTER,4,5,4,4,2,4,5,2
EXP,AFTER,3,5,4,3,3,4,3,3
EXP,AFTER,4,4,4,5,1,5,3,1
EXP,AFTER,4,3,3,3,3,5,5,1
EXP,AFTER,4,3,4,3,3,4,5,2
EXP,AFTER,5,3,4,4,2,4,3,2
EXP,AFTER,5,3,3,5,1,5,5,2
EXP,AFTER,5,5,5,4,2,4,4,1
EXP,AFTER,5,4,5,4,2,5,4,1
EXP,AFTER,3,4,5,3,3,5,4,2
EXP,AFTER,3,5,4,5,1,4,4,4
EXP,AFTER,3,3,3,3,3,5,5,3
EXP,AFTER,3,3,4,5,1,4,4,1
EXP,AFTER,4,5,3,3,3,4,3,3
EXP,AFTER,4,4,3,3,3,3,3,1
EXP,AFTER,4,5,3,3,3,4,5,1
EXP,AFTER,3,4,3,5,1,5,5,3
EXP,AFTER,5,4,4,3,3,5,3,1
EXP,AFTER,4,4,4,5,1,4,4,2
EXP,AFTER,5,3,3,5,1,3,5,3
EXP,AFTER,5,4,5,5,1,5,5,1
EXP,AFTER,4,4,4,5,1,3,5,1
EXP,AFTER,5,5,3,4,2,5,5,2
EXP,AFTER,3,3,5,3,3,4,4,3
EXP,AFTER,5,4,3,4,2,5,3,2
EXP,AFTER,3,5,5,4,2,4,3,1
EXP,AFTER,4,4,4,5,1,4,3,3
EXP,AFTER,3,5,4,4,2,5,4,1
EXP,AFTER,5,4,3,3,3,3,5,3
EXP,AFTER,5,5,3,4,2,4,4,3
EXP,AFTER,3,3,4,3,3,5,4,2
EXP,AFTER,5,2,3,3,3,5,5,3
EXP,AFTER,4,2,5,3,3,4,3,2
EXP,AFTER,4,5,4,5,1,4,3,1
EXP,AFTER,3,5,5,4,2,3,5,3
EXP,AFTER,4,5,5,5,1,5,3,2
EXP,AFTER,5,3,4,4,2,3,3,2
EXP,AFTER,3,4,4,5,1,5,3,3
EXP,AFTER,4,3,4,5,1,3,5,3
